user_id,food_id,rating
1,101,4
1,103,5
1,106,3
1,120,2
1,110,4
1,112,3
2,102,5
2,104,3
2,105,4
2,109,2
2,111,4
2,113,5
3,101,5
3,103,4
3,107,5
3,109,3
3,114,2
3,115,4
4,102,4
4,106,3
4,108,2
4,110,5
4,115,3
4,116,4
5,103,3
5,105,4
5,107,2
5,109,4
5,117,5
5,118,3
6,101,3
6,104,5
6,106,4
6,108,3
6,110,2
6,119,4
7,102,4
7,105,3
7,107,5
7,111,3
7,114,4
7,120,2
8,103,5
8,106,3
8,109,4
8,113,2
8,115,5
8,121,4
9,101,4
9,104,3
9,107,5
9,109,3
9,110,4
9,122,2
10,102,3
10,105,4
10,106,2
10,108,5
10,111,4
10,123,3
11,101,4
11,103,3
11,104,5
11,107,2
11,110,4
11,124,3
12,102,5
12,106,4
12,108,3
12,111,2
12,115,4
12,125,5
